2026-06-04 17:41:57.186 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-04 17:41:57.192 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-04 17:41:57.323 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 35784 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-04 17:41:57.324 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-04 17:41:57.518 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-04 17:41:57.519 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-04 17:41:57.519 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-04 17:41:57.520 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-04 17:41:57.534 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 207 ms
2026-06-04 17:41:57.603 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-04 17:41:57.607 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-04 17:41:57.608 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 0.32 seconds (process running for 4052.438)
2026-06-04 17:41:57.609 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-06-04 17:41:57.610 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
2026-06-04 17:41:57.610 WARN  a.d.s.config.LogDemo - Xeberadarliq mesajlari ucun logging
2026-06-04 17:41:57.610 ERROR a.d.s.config.LogDemo - Kritik mesajlar ucun logging
2026-06-04 17:42:01.120 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2026-06-04 17:42:01.122 INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-04 17:42:01.123 INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8085"]
2026-06-04 17:42:01.133 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-04 17:42:01.134 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-04 17:42:01.262 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 35784 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-04 17:42:01.263 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-04 17:42:01.424 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-04 17:42:01.425 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-04 17:42:01.425 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-04 17:42:01.425 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-04 17:42:01.441 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 176 ms
2026-06-04 17:42:01.537 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-04 17:42:01.543 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-04 17:42:01.545 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 0.331 seconds (process running for 4056.374)
2026-06-04 17:42:01.546 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-06-04 17:42:01.547 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
