2026-06-08 20:49:39.190 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-08 20:49:39.200 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown initiated...
2026-06-08 20:49:39.214 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown completed.
2026-06-08 20:49:39.353 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 11832 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-08 20:49:39.420 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-08 20:49:39.787 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-08 20:49:39.788 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-08 20:49:39.789 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-08 20:49:39.790 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-08 20:49:39.812 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 387 ms
2026-06-08 20:49:39.984 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-08 20:49:39.993 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-08 20:49:39.999 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 0.698 seconds (process running for 1482.123)
2026-06-08 20:49:40.000 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-06-08 20:49:40.002 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
2026-06-08 20:49:40.002 WARN  a.d.s.config.LogDemo - Xeberadarliq mesajlari ucun logging
2026-06-08 20:49:40.002 ERROR a.d.s.config.LogDemo - Kritik mesajlar ucun logging
2026-06-08 20:59:21.280 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 16232 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-08 20:59:21.287 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-08 20:59:21.389 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-08 20:59:21.389 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
