2026-06-14 07:04:11.923 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 4004 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-14 07:04:11.931 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-14 07:04:12.011 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-14 07:04:12.012 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-14 07:04:14.252 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-14 07:04:14.275 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-14 07:04:14.279 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-14 07:04:14.280 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-14 07:04:14.370 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 2356 ms
2026-06-14 07:04:15.583 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-14 07:04:15.634 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-14 07:04:15.647 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 4.802 seconds (process running for 10.16)
2026-06-14 07:04:15.654 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
2026-06-14 07:04:15.654 WARN  a.d.s.config.LogDemo - Xeberadarliq mesajlari ucun logging
2026-06-14 07:04:15.654 ERROR a.d.s.config.LogDemo - Kritik mesajlar ucun logging
2026-06-14 07:04:21.981 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-14 07:04:21.981 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-14 07:04:21.987 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2026-06-14 07:04:31.877 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-14 07:04:33.176 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@94cb059
2026-06-14 07:04:33.184 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-14 07:05:32.363 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 4 class path changes (0 additions, 0 deletions, 4 modifications)
2026-06-14 07:05:32.375 INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-14 07:05:32.381 INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8085"]
2026-06-14 07:05:32.393 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-14 07:05:32.394 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-14 07:05:32.402 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-06-14 07:05:32.426 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-06-14 07:05:32.573 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 4004 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-14 07:05:32.574 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-14 07:05:32.930 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-14 07:05:32.932 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-14 07:05:32.934 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-14 07:05:32.935 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-14 07:05:32.966 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 389 ms
2026-06-14 07:05:33.166 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-14 07:05:33.180 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-14 07:05:33.184 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 0.674 seconds (process running for 87.696)
2026-06-14 07:05:33.189 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
